epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.61442,2.9216,2.53005,1.32917,0.81752,0.8232,0.83446,0.32085,2.15194,0.92273,1.00799,0.00012,0.00012,0.00012
2,6.98992,2.12491,0.89341,1.04372,0.82718,0.8368,0.84128,0.35606,2.00221,0.80849,0.97879,0.000235296,0.000235296,0.000235296
3,10.4323,1.90513,0.87029,0.92249,0.8105,0.84343,0.83489,0.34752,nan,nan,nan,0.000262494,0.000262494,0.000262494
4,13.7612,1.90527,0.87718,0.92537,0.84638,0.8784,0.88782,0.40189,1.83868,0.81975,0.93907,0.000188333,0.000188333,0.000188333
5,17.0886,1.93998,0.82101,0.93331,0.84917,0.8716,0.89659,0.41378,1.82314,0.82241,0.93185,6.80096e-05,6.80096e-05,6.80096e-05
1,3.25621,2.9216,2.53005,1.32917,0.81752,0.8232,0.83446,0.32085,2.15194,0.92273,1.00799,0.00012,0.00012,0.00012
2,6.83855,2.12491,0.89341,1.04372,0.82718,0.8368,0.84128,0.35606,2.00221,0.80849,0.97879,0.000235296,0.000235296,0.000235296
3,10.2356,1.90513,0.87029,0.92249,0.8105,0.84343,0.83489,0.34752,nan,nan,nan,0.000262494,0.000262494,0.000262494
4,13.5318,1.90527,0.87718,0.92537,0.84638,0.8784,0.88782,0.40189,1.83868,0.81975,0.93907,0.000188333,0.000188333,0.000188333
5,16.8152,1.93998,0.82101,0.93331,0.84917,0.8716,0.89659,0.41378,1.82314,0.82241,0.93185,6.80096e-05,6.80096e-05,6.80096e-05
1,3.20807,2.9216,2.53005,1.32917,0.81752,0.8232,0.83446,0.32085,2.15194,0.92273,1.00799,0.00012,0.00012,0.00012
2,6.79359,2.12491,0.89341,1.04372,0.82718,0.8368,0.84128,0.35606,2.00221,0.80849,0.97879,0.000235296,0.000235296,0.000235296
3,10.2369,1.90513,0.87029,0.92249,0.8105,0.84343,0.83489,0.34752,nan,nan,nan,0.000262494,0.000262494,0.000262494
4,13.5369,1.90527,0.87718,0.92537,0.84638,0.8784,0.88782,0.40189,1.83868,0.81975,0.93907,0.000188333,0.000188333,0.000188333
5,16.9224,1.93998,0.82101,0.93331,0.84917,0.8716,0.89659,0.41378,1.82314,0.82241,0.93185,6.80096e-05,6.80096e-05,6.80096e-05
1,2.756,2.9216,2.53005,1.32917,0.81752,0.8232,0.83446,0.32085,2.15194,0.92273,1.00799,0.00012,0.00012,0.00012
2,6.39418,2.12491,0.89341,1.04372,0.82718,0.8368,0.84128,0.35606,2.00221,0.80849,0.97879,0.000235296,0.000235296,0.000235296
3,9.87384,1.90513,0.87029,0.92249,0.8105,0.84343,0.83489,0.34752,nan,nan,nan,0.000262494,0.000262494,0.000262494
4,13.2687,1.90527,0.87718,0.92537,0.84638,0.8784,0.88782,0.40189,1.83868,0.81975,0.93907,0.000188333,0.000188333,0.000188333
5,16.624,1.93998,0.82101,0.93331,0.84917,0.8716,0.89659,0.41378,1.82314,0.82241,0.93185,6.80096e-05,6.80096e-05,6.80096e-05
1,3.27393,2.9216,2.53005,1.32917,0.81752,0.8232,0.83446,0.32085,2.15194,0.92273,1.00799,0.00012,0.00012,0.00012
2,6.87424,2.12491,0.89341,1.04372,0.82718,0.8368,0.84128,0.35606,2.00221,0.80849,0.97879,0.000235296,0.000235296,0.000235296
3,10.2525,1.90513,0.87029,0.92249,0.8105,0.84343,0.83489,0.34752,nan,nan,nan,0.000262494,0.000262494,0.000262494
4,13.5517,1.90527,0.87718,0.92537,0.84638,0.8784,0.88782,0.40189,1.83868,0.81975,0.93907,0.000188333,0.000188333,0.000188333
5,16.8337,1.93998,0.82101,0.93331,0.84917,0.8716,0.89659,0.41378,1.82314,0.82241,0.93185,6.80096e-05,6.80096e-05,6.80096e-05
1,2.75168,2.9216,2.53005,1.32917,0.81752,0.8232,0.83446,0.32085,2.15194,0.92273,1.00799,0.00012,0.00012,0.00012
2,6.39069,2.12491,0.89341,1.04372,0.82718,0.8368,0.84128,0.35606,2.00221,0.80849,0.97879,0.000235296,0.000235296,0.000235296
3,10.0299,1.90513,0.87029,0.92249,0.8105,0.84343,0.83489,0.34752,nan,nan,nan,0.000262494,0.000262494,0.000262494
4,13.2948,1.90527,0.87718,0.92537,0.84638,0.8784,0.88782,0.40189,1.83868,0.81975,0.93907,0.000188333,0.000188333,0.000188333
5,16.6491,1.93998,0.82101,0.93331,0.84917,0.8716,0.89659,0.41378,1.82314,0.82241,0.93185,6.80096e-05,6.80096e-05,6.80096e-05
